"Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","Over18","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","High_satisfaction","Low_satisfaction","MonthlyIncome_scaled","NumCompaniesWorked_scaled","TotalWorkingYears_scaled","TrainingTimesLastYear_scaled","YearsAtCompany_scaled","YearsInCurrentRole_scaled","YearsSinceLastPromotion_scaled","YearsWithCurrManager_scaled","Age_scaled","DailyRate_scaled","DistanceFromHome_scaled","HourlyRate_scaled","MonthlyRate_scaled","PercentSalaryHike_scaled","MonthlyIncome_discret","NumCompaniesWorked_discret","TotalWorkingYears_discret","TrainingTimesLastYear_discret","YearsAtCompany_discret","YearsInCurrentRole_discret","YearsSinceLastPromotion_discret","YearsWithCurrManager_discret","Age_discret","DailyRate_discret","DistanceFromHome_discret","HourlyRate_discret","MonthlyRate_discret","PercentSalaryHike_discret"
35,"0","Travel_Rarely",809,"Research & Development",16,"3","Medical","1","Male",84,"4",1,"Laboratory Technician","2","Married",2426,16479,0,"Y","0",13,"3","3","1",6,5,"3",5,4,0,3,"0","0",0.159500163752929,0,0.387298334620742,0.912870929175277,0.353553390593274,0.471404520791032,0,0.420084025208403,0.404761904761905,0.506084466714388,0.535714285714286,0.771428571428571,0.577594860469785,0.142857142857143,"[0,0.272)","[0,0.167)","[0.281,0.441)","[0.88,1]","[0.284,0.448)","[0.181,0.501)","[0,0.153)","[0,0.424)","[0.255,0.448)","[0.483,0.739)","[0.43,0.729)","[0.756,1]","[0.497,0.745)","[0.117,0.332)"
29,"0","Travel_Rarely",153,"Research & Development",15,"2","Life Sciences","4","Female",49,"2",2,"Laboratory Technician","3","Single",4193,12682,0,"Y","1",12,"3","4","0",10,3,"3",9,5,0,8,"1","0",0.300845392260345,0,0.5,0.707106781186548,0.474341649025257,0.52704627669473,0,0.685994340570035,0.261904761904762,0.0365068002863278,0.5,0.271428571428571,0.425135514956836,0.0714285714285714,"[0.272,0.484)","[0,0.167)","[0.441,0.629)","[0.312,0.72)","[0.448,0.633)","[0.501,0.748)","[0,0.153)","[0.424,0.687)","[0.255,0.448)","[0,0.236)","[0.43,0.729)","[0.261,0.509)","[0.247,0.497)","[0,0.117)"
31,"0","Travel_Rarely",670,"Research & Development",26,"1","Life Sciences","1","Male",31,"3",1,"Research Scientist","3","Divorced",2911,15170,1,"Y","0",17,"3","4","1",5,1,"2",5,2,4,3,"0","0",0.202355715649537,0.333333333333333,0.353553390593274,0.408248290463863,0.353553390593274,0.333333333333333,0.516397779494322,0.420084025208403,0.30952380952381,0.406585540443808,0.892857142857143,0.0142857142857143,0.525035133507328,0.428571428571429,"[0,0.272)","[0.167,0.43)","[0.281,0.441)","[0.312,0.72)","[0.284,0.448)","[0.181,0.501)","[0.46,0.749)","[0,0.424)","[0.255,0.448)","[0.236,0.483)","[0.729,1]","[0,0.261)","[0.497,0.745)","[0.332,0.62)"
34,"0","Travel_Rarely",1346,"Research & Development",19,"2","Medical","2","Male",93,"3",1,"Laboratory Technician","4","Divorced",2661,8758,0,"Y","0",11,"3","3","1",3,2,"3",2,2,1,2,"0","0",0.180753014110357,0,0.273861278752583,0.577350269189626,0.223606797749979,0.333333333333333,0.258198889747161,0.342997170285018,0.380952380952381,0.890479599141016,0.642857142857143,0.9,0.267576791808874,0,"[0,0.272)","[0,0.167)","[0,0.281)","[0.312,0.72)","[0,0.284)","[0.181,0.501)","[0.153,0.46)","[0,0.424)","[0.255,0.448)","[0.739,1]","[0.43,0.729)","[0.756,1]","[0.247,0.497)","[0,0.117)"
28,"1","Travel_Rarely",103,"Research & Development",24,"3","Life Sciences","3","Male",50,"2",1,"Laboratory Technician","3","Single",2028,12947,5,"Y","1",14,"3","2","0",6,4,"3",4,2,0,3,"0","0",0.121004927821083,0.74535599249993,0.387298334620742,0.816496580927726,0.316227766016838,0.333333333333333,0,0.420084025208403,0.238095238095238,0.000715819613457409,0.821428571428571,0.285714285714286,0.435775948604698,0.214285714285714,"[0,0.272)","[0.666,1]","[0.281,0.441)","[0.72,0.88)","[0.284,0.448)","[0.181,0.501)","[0,0.153)","[0,0.424)","[0,0.255)","[0,0.236)","[0.729,1]","[0.261,0.509)","[0.247,0.497)","[0.117,0.332)"
29,"0","Travel_Rarely",1389,"Research & Development",21,"4","Life Sciences","2","Female",51,"4",3,"Manufacturing Director","1","Divorced",9980,10195,1,"Y","0",11,"3","3","1",10,1,"3",10,9,8,8,"0","0",0.621370615725255,0.333333333333333,0.5,0.408248290463863,0.5,0.707106781186548,0.730296743340222,0.685994340570035,0.261904761904762,0.921259842519685,0.714285714285714,0.3,0.325276048986147,0,"[0.484,0.744)","[0.167,0.43)","[0.441,0.629)","[0.312,0.72)","[0.448,0.633)","[0.501,0.748)","[0.46,0.749)","[0.424,0.687)","[0.255,0.448)","[0.739,1]","[0.43,0.729)","[0.261,0.509)","[0.247,0.497)","[0,0.117)"
32,"0","Travel_Rarely",334,"Research & Development",5,"2","Life Sciences","1","Male",80,"4",1,"Research Scientist","2","Divorced",3298,15053,0,"Y","1",12,"3","4","2",7,5,"2",6,2,0,5,"0","0",0.234042311634509,0,0.418330013267038,0.912870929175277,0.387298334620742,0.333333333333333,0,0.54232614454664,0.333333333333333,0.166070150322119,0.142857142857143,0.714285714285714,0.520337281670347,0.0714285714285714,"[0,0.272)","[0,0.167)","[0.281,0.441)","[0.88,1]","[0.284,0.448)","[0.181,0.501)","[0,0.153)","[0.424,0.687)","[0.255,0.448)","[0,0.236)","[0,0.161)","[0.509,0.756)","[0.497,0.745)","[0,0.117)"
22,"0","Non-Travel",1123,"Research & Development",16,"2","Medical","4","Male",96,"4",1,"Laboratory Technician","4","Divorced",2935,7324,1,"Y","1",13,"3","2","2",1,2,"2",1,0,0,0,"1","0",0.20437988570765,0.333333333333333,0.158113883008419,0.577350269189626,0.158113883008419,0,0,0,0.0952380952380952,0.730851825340014,0.535714285714286,0.942857142857143,0.20999799237101,0.142857142857143,"[0,0.272)","[0.167,0.43)","[0,0.281)","[0.312,0.72)","[0,0.284)","[0,0.181)","[0,0.153)","[0,0.424)","[0,0.255)","[0.483,0.739)","[0.43,0.729)","[0.756,1]","[0,0.247)","[0.117,0.332)"
53,"0","Travel_Rarely",1219,"Sales",2,"4","Life Sciences","1","Female",78,"2",4,"Manager","4","Married",15427,22021,2,"Y","0",16,"3","3","0",31,3,"3",25,8,3,7,"0","0",0.84302904368692,0.471404520791032,0.88034084308295,0.707106781186548,0.790569415042095,0.666666666666667,0.447213595499958,0.641688947919748,0.833333333333333,0.799570508231926,0.0357142857142857,0.685714285714286,0.80012045773941,0.357142857142857,"[0.744,1]","[0.43,0.666)","[0.629,1]","[0.312,0.72)","[0.633,1]","[0.501,0.748)","[0.153,0.46)","[0.424,0.687)","[0.681,1]","[0.739,1]","[0,0.161)","[0.509,0.756)","[0.745,1]","[0.332,0.62)"
38,"0","Travel_Rarely",371,"Research & Development",2,"3","Life Sciences","4","Male",45,"3",1,"Research Scientist","4","Single",3944,4306,5,"Y","1",11,"3","3","0",6,3,"3",3,2,1,2,"1","0",0.283042839260117,0.74535599249993,0.387298334620742,0.707106781186548,0.273861278752583,0.333333333333333,0.258198889747161,0.342997170285018,0.476190476190476,0.192555476020043,0.0357142857142857,0.214285714285714,0.0888175065247942,0,"[0.272,0.484)","[0.666,1]","[0.281,0.441)","[0.312,0.72)","[0,0.284)","[0.181,0.501)","[0.153,0.46)","[0,0.424)","[0.448,0.681)","[0,0.236)","[0,0.161)","[0,0.261)","[0,0.247)","[0,0.117)"
24,"0","Non-Travel",673,"Research & Development",11,"2","Other","1","Female",96,"4",2,"Manufacturing Director","3","Divorced",4011,8232,0,"Y","0",18,"3","4","1",5,5,"2",4,2,1,3,"0","0",0.287887047532469,0,0.353553390593274,0.912870929175277,0.316227766016838,0.333333333333333,0.258198889747161,0.420084025208403,0.142857142857143,0.40873299928418,0.357142857142857,0.942857142857143,0.246456534832363,0.5,"[0.272,0.484)","[0,0.167)","[0.281,0.441)","[0.88,1]","[0.284,0.448)","[0.181,0.501)","[0.153,0.46)","[0,0.424)","[0,0.255)","[0.236,0.483)","[0.161,0.43)","[0.756,1]","[0,0.247)","[0.332,0.62)"
36,"1","Travel_Rarely",1218,"Sales",9,"4","Life Sciences","3","Male",82,"2",1,"Sales Representative","1","Single",3407,6986,7,"Y","0",23,"4","2","0",10,4,"3",5,3,0,3,"0","0",0.242626627712311,0.881917103688197,0.5,0.816496580927726,0.353553390593274,0.408248290463863,0,0.420084025208403,0.428571428571429,0.798854688618468,0.285714285714286,0.742857142857143,0.196426420397511,0.857142857142857,"[0,0.272)","[0.666,1]","[0.441,0.629)","[0.72,0.88)","[0.284,0.448)","[0.181,0.501)","[0,0.153)","[0,0.424)","[0.255,0.448)","[0.739,1]","[0.161,0.43)","[0.509,0.756)","[0,0.247)","[0.62,1]"
34,"0","Travel_Rarely",419,"Research & Development",7,"4","Life Sciences","1","Female",53,"3",3,"Research Director","2","Single",11994,21293,0,"Y","0",11,"3","3","0",13,4,"3",12,6,2,11,"0","0",0.709076074851073,0,0.570087712549569,0.816496580927726,0.547722557505166,0.577350269189626,0.365148371670111,0.804399666539844,0.380952380952381,0.226914817465999,0.214285714285714,0.328571428571429,0.770889379642642,0,"[0.484,0.744)","[0,0.167)","[0.441,0.629)","[0.72,0.88)","[0.448,0.633)","[0.501,0.748)","[0.153,0.46)","[0.687,0.843)","[0.255,0.448)","[0,0.236)","[0.161,0.43)","[0.261,0.509)","[0.745,1]","[0,0.117)"
21,"0","Travel_Rarely",391,"Research & Development",15,"2","Life Sciences","3","Male",96,"3",1,"Research Scientist","4","Single",1232,19281,1,"Y","0",14,"3","4","0",0,6,"3",0,0,0,0,"1","0",0.0304149942699479,0.333333333333333,0,1,0,0,0,0,0.0714285714285714,0.206871868289191,0.5,0.942857142857143,0.690102389078498,0.214285714285714,"[0,0.272)","[0.167,0.43)","[0,0.281)","[0.88,1]","[0,0.284)","[0,0.181)","[0,0.153)","[0,0.424)","[0,0.255)","[0,0.236)","[0.43,0.729)","[0.756,1]","[0.497,0.745)","[0.117,0.332)"
34,"1","Travel_Rarely",699,"Research & Development",6,"1","Medical","2","Male",83,"3",1,"Research Scientist","1","Single",2960,17102,2,"Y","0",11,"3","3","0",8,2,"3",4,2,1,3,"0","0",0.206479615090152,0.471404520791032,0.447213595499958,0.577350269189626,0.316227766016838,0.333333333333333,0.258198889747161,0.420084025208403,0.380952380952381,0.427344309234073,0.178571428571429,0.757142857142857,0.602609917687211,0,"[0,0.272)","[0.43,0.666)","[0.441,0.629)","[0.312,0.72)","[0.284,0.448)","[0.181,0.501)","[0.153,0.46)","[0,0.424)","[0.255,0.448)","[0.236,0.483)","[0.161,0.43)","[0.756,1]","[0.497,0.745)","[0,0.117)"
53,"0","Travel_Rarely",1282,"Research & Development",5,"3","Other","3","Female",58,"3",5,"Manager","3","Divorced",19094,10735,4,"Y","0",11,"3","4","1",26,3,"2",14,13,4,8,"0","0",0.970481626482938,0.666666666666667,0.806225774829855,0.707106781186548,0.591607978309962,0.849836585598797,0.516397779494322,0.685994340570035,0.833333333333333,0.844667143879742,0.142857142857143,0.4,0.346958442079904,0,"[0.744,1]","[0.666,1]","[0.629,1]","[0.312,0.72)","[0.448,0.633)","[0.748,1]","[0.46,0.749)","[0.424,0.687)","[0.681,1]","[0.739,1]","[0,0.161)","[0.261,0.509)","[0.247,0.497)","[0,0.117)"
32,"1","Travel_Frequently",1125,"Research & Development",16,"1","Life Sciences","2","Female",72,"1",1,"Research Scientist","1","Single",3919,4681,1,"Y","1",22,"4","2","0",10,5,"3",10,2,6,7,"0","0",0.281224768990966,0.333333333333333,0.5,0.912870929175277,0.5,0.333333333333333,0.632455532033676,0.641688947919748,0.333333333333333,0.732283464566929,0.535714285714286,0.6,0.103874723951014,0.785714285714286,"[0.272,0.484)","[0.167,0.43)","[0.441,0.629)","[0.88,1]","[0.448,0.633)","[0.181,0.501)","[0.46,0.749)","[0.424,0.687)","[0.255,0.448)","[0.483,0.739)","[0.43,0.729)","[0.509,0.756)","[0,0.247)","[0.62,1]"
42,"0","Travel_Rarely",691,"Sales",8,"4","Marketing","3","Male",48,"3",2,"Sales Executive","2","Married",6825,21173,0,"Y","0",11,"3","4","1",10,2,"3",9,7,4,2,"0","0",0.463724384131994,0,0.5,0.577350269189626,0.474341649025257,0.623609564462324,0.516397779494322,0.342997170285018,0.571428571428571,0.421617752326414,0.25,0.257142857142857,0.766071070066252,0,"[0.272,0.484)","[0,0.167)","[0.441,0.629)","[0.312,0.72)","[0.448,0.633)","[0.501,0.748)","[0.46,0.749)","[0,0.424)","[0.448,0.681)","[0.236,0.483)","[0.161,0.43)","[0,0.261)","[0.745,1]","[0,0.117)"
44,"0","Travel_Rarely",477,"Research & Development",7,"4","Medical","1","Female",42,"2",3,"Healthcare Representative","4","Married",10248,2094,3,"Y","0",14,"3","4","1",24,4,"3",22,6,5,17,"1","0",0.633522177433041,0.577350269189626,0.774596669241483,0.816496580927726,0.741619848709566,0.577350269189626,0.577350269189626,1,0.619047619047619,0.268432355046528,0.214285714285714,0.171428571428571,0,0.214285714285714,"[0.484,0.744)","[0.43,0.666)","[0.629,1]","[0.72,0.88)","[0.633,1]","[0.501,0.748)","[0.46,0.749)","[0.843,1]","[0.448,0.681)","[0.236,0.483)","[0.161,0.43)","[0,0.261)","[0,0.247)","[0.117,0.332)"
46,"0","Travel_Rarely",705,"Sales",2,"4","Marketing","2","Female",83,"3",5,"Manager","1","Single",18947,22822,3,"Y","0",12,"3","4","0",22,2,"2",2,2,2,1,"0","0",0.965621400888002,0.577350269189626,0.741619848709566,0.577350269189626,0.223606797749979,0.333333333333333,0.365148371670111,0.242535625036333,0.666666666666667,0.431639226914817,0.0357142857142857,0.757142857142857,0.832282674161815,0.0714285714285714,"[0.744,1]","[0.43,0.666)","[0.629,1]","[0.312,0.72)","[0,0.284)","[0.181,0.501)","[0.153,0.46)","[0,0.424)","[0.448,0.681)","[0.236,0.483)","[0,0.161)","[0.756,1]","[0.745,1]","[0,0.117)"
33,"0","Travel_Rarely",924,"Research & Development",2,"3","Medical","3","Male",78,"3",1,"Laboratory Technician","4","Single",2496,6670,4,"Y","0",11,"3","4","0",7,3,"3",1,1,0,0,"1","0",0.165934480871751,0.666666666666667,0.418330013267038,0.707106781186548,0.158113883008419,0.235702260395516,0,0,0.357142857142857,0.58840372226199,0.0357142857142857,0.685714285714286,0.183738205179683,0,"[0,0.272)","[0.666,1]","[0.281,0.441)","[0.312,0.72)","[0,0.284)","[0.181,0.501)","[0,0.153)","[0,0.424)","[0.255,0.448)","[0.483,0.739)","[0,0.161)","[0.509,0.756)","[0,0.247)","[0,0.117)"
44,"0","Travel_Rarely",1459,"Research & Development",10,"4","Other","4","Male",41,"3",2,"Healthcare Representative","4","Married",6465,19121,2,"Y","1",13,"3","4","0",9,5,"4",4,2,1,3,"1","0",0.443585096709153,0.471404520791032,0.474341649025257,0.912870929175277,0.316227766016838,0.333333333333333,0.258198889747161,0.420084025208403,0.619047619047619,0.971367215461704,0.321428571428571,0.157142857142857,0.683677976309978,0.142857142857143,"[0.272,0.484)","[0.43,0.666)","[0.441,0.629)","[0.88,1]","[0.284,0.448)","[0.181,0.501)","[0.153,0.46)","[0,0.424)","[0.448,0.681)","[0.739,1]","[0.161,0.43)","[0,0.261)","[0.497,0.745)","[0.117,0.332)"
30,"0","Travel_Rarely",125,"Research & Development",9,"2","Medical","4","Male",83,"2",1,"Laboratory Technician","3","Single",2206,16117,1,"Y","0",13,"3","1","0",10,5,"3",10,0,1,8,"0","0",0.138649244003387,0.333333333333333,0.5,0.912870929175277,0.5,0,0.258198889747161,0.685994340570035,0.285714285714286,0.0164638511095204,0.285714285714286,0.757142857142857,0.563059626581008,0.142857142857143,"[0,0.272)","[0.167,0.43)","[0.441,0.629)","[0.88,1]","[0.448,0.633)","[0,0.181)","[0.153,0.46)","[0.424,0.687)","[0.255,0.448)","[0,0.236)","[0.161,0.43)","[0.756,1]","[0.497,0.745)","[0.117,0.332)"
39,"1","Travel_Rarely",895,"Sales",5,"3","Technical Degree","4","Male",56,"3",2,"Sales Representative","4","Married",2086,3335,3,"Y","0",14,"3","3","1",19,6,"4",1,0,0,0,"1","0",0.126836301684015,0.577350269189626,0.689202437604511,1,0.158113883008419,0,0,0,0.5,0.567644953471725,0.142857142857143,0.371428571428571,0.0498293515358362,0.214285714285714,"[0,0.272)","[0.43,0.666)","[0.629,1]","[0.88,1]","[0,0.284)","[0,0.181)","[0,0.153)","[0,0.424)","[0.448,0.681)","[0.483,0.739)","[0,0.161)","[0.261,0.509)","[0,0.247)","[0.117,0.332)"
24,"1","Travel_Rarely",813,"Research & Development",1,"3","Medical","2","Male",61,"3",1,"Research Scientist","4","Married",2293,3020,2,"Y","1",16,"3","1","1",6,2,"2",2,0,2,0,"0","0",0.147013856075164,0.471404520791032,0.387298334620742,0.577350269189626,0.223606797749979,0,0.365148371670111,0,0.142857142857143,0.508947745168218,0,0.442857142857143,0.0371812888978117,0.357142857142857,"[0,0.272)","[0.43,0.666)","[0.281,0.441)","[0.312,0.72)","[0,0.284)","[0,0.181)","[0.153,0.46)","[0,0.424)","[0,0.255)","[0.483,0.739)","[0,0.161)","[0.261,0.509)","[0,0.247)","[0.332,0.62)"
43,"0","Travel_Rarely",1273,"Research & Development",2,"2","Medical","4","Female",72,"4",1,"Research Scientist","3","Divorced",2645,21923,1,"Y","0",12,"3","4","2",6,3,"2",5,3,1,4,"1","0",0.179336564599686,0.333333333333333,0.387298334620742,0.707106781186548,0.353553390593274,0.408248290463863,0.258198889747161,0.485071250072666,0.595238095238095,0.838224767358626,0.0357142857142857,0.6,0.796185504918691,0.0714285714285714,"[0,0.272)","[0.167,0.43)","[0.281,0.441)","[0.312,0.72)","[0.284,0.448)","[0.181,0.501)","[0.153,0.46)","[0.424,0.687)","[0.448,0.681)","[0.739,1]","[0,0.161)","[0.509,0.756)","[0.745,1]","[0,0.117)"
50,"1","Travel_Rarely",869,"Sales",3,"2","Marketing","1","Male",86,"2",1,"Sales Representative","3","Married",2683,3810,1,"Y","1",14,"3","3","0",3,2,"3",3,2,0,2,"0","0",0.182693697199008,0.333333333333333,0.273861278752583,0.577350269189626,0.273861278752583,0.333333333333333,0,0.342997170285018,0.761904761904762,0.549033643521832,0.0714285714285714,0.8,0.068901826942381,0.214285714285714,"[0,0.272)","[0.167,0.43)","[0,0.281)","[0.312,0.72)","[0,0.284)","[0.181,0.501)","[0,0.153)","[0,0.424)","[0.681,1]","[0.483,0.739)","[0,0.161)","[0.756,1]","[0,0.247)","[0.117,0.332)"
35,"0","Travel_Rarely",890,"Sales",2,"3","Marketing","4","Female",97,"3",1,"Sales Representative","4","Married",2014,9687,1,"Y","0",13,"3","1","0",2,3,"3",2,2,2,2,"1","0",0.119584906786413,0.333333333333333,0.223606797749979,0.707106781186548,0.223606797749979,0.333333333333333,0.365148371670111,0.342997170285018,0.404761904761905,0.564065855404438,0.0357142857142857,0.957142857142857,0.304878538446095,0.142857142857143,"[0,0.272)","[0.167,0.43)","[0,0.281)","[0.312,0.72)","[0,0.284)","[0.181,0.501)","[0.153,0.46)","[0,0.424)","[0.255,0.448)","[0.483,0.739)","[0,0.161)","[0.756,1]","[0.247,0.497)","[0.117,0.332)"
